Date,Close
2001-12-31,-0.1304249034310384
2002-12-31,-0.23369044508318093
2003-12-31,0.2638099568083656
2004-12-31,0.08993614533681082
2005-12-31,0.030035481475369163
2006-12-31,0.1361852118881679
2007-12-31,0.035323979411972184
2008-12-31,-0.38490874421138654
2009-12-31,0.23461027457927353
2010-12-31,0.12779122948614474
2011-12-31,0.0
2012-12-31,0.13406488549618323
2013-12-31,0.2960314121441594
2014-12-31,0.11388227656351435
2015-12-31,-0.007285443683520354
2016-12-31,0.09535691570037685
2017-12-31,0.19421118456315867
2018-12-31,-0.06238779174147202
2019-12-31,0.2352800382958351
